season,episode,release,title,rating,description
2,7,15 Oct. 2012,Chirp,7.8,"While Claire and Haley get sick at the same time, Phil wages battle against a chirping smoke detector. Manny accidentally gets one of Jay's employees fired, and Cameron wants to put Lily in a TV commercial."
2,8,22 Oct. 2012,Manny Get Your Gun,8.4,A birthday dinner for Manny at a family restaurant turns into a race for Phil and Claire and a chance for Cameron to socialize at a shopping mall while looking for a gift.
2,9,5 Nov. 2012,Mother Tucker,7.6,Jay and Manny's online diagnosis of Jay's illness makes matters worse. A visit from Cameron's mother sends Mitchell into a frenzy. Phil is more upset about Haley's breakup with Dylan than she is.
2,10,12 Nov. 2012,Dance Dance Revelation,7.5,"Claire is threatened when Gloria becomes her co-chair for a school dance, Jay bullies Phil into taking a stand during a trip to the mall, and Mitchell and Cameron discover that their daughter is a biter."
2,11,19 Nov. 2012,Slow Down Your Neighbors,8.2,"Claire tries to stop a woman from speeding in the neighborhood, which creates a business conflict for Phil. Meanwhile, Mitchell and Cameron befriend a strange new neighbor, and Gloria and Manny learn how to ride a bicycle."
2,12,26 Nov. 2012,"Our Children, Ourselves",7.8,"Phil and Claire question their intelligence after a comment by Alex, Mitchell suspects that he fathered a child 8 years ago, and Gloria tells an embarrassing lie about Jay to cover up his rudeness to another couple."
2,13,3 Dec. 2012,Caught in the Act,9.0,"Phil and Claire's kids walk in on them having sex while delivering their anniversary present, Gloria tries to keep Claire from seeing an angry e-mail, and Mitchell and Cameron contemplate how to cover up a juice stain on a rug."
2,14,10 Dec. 2012,Bixby's Back,8.0,"Phil and Clair try to revisit an old Valentine's Day act, Jay tries to surprise Gloria with a romantic dinner, Mitchell and Cameron disagree over Mitchell's assistant's crush, and Manny gives Haley relationship advice."
2,15,17 Dec. 2012,Princess Party,7.6,"Dede hooks up with Claire's high school boyfriend the night before Lily's birthday party. Meanwhile, Mitchell won't let Cameron play Fizbo the Clown at the party, while Gloria self-medicates to cope with Dede."
2,16,24 Dec. 2012,Regrets Only,8.1,"Gloria helps Phil figure out why Claire is mad at him, Mitchell forgets to send out invitations to Cameron's fund raiser, and Alex tries to prove that Haley is lying when she says she has a job as a waitress."
2,17,7 Jan. 2013,Two Monkeys and a Panda,7.8,"Phil spends the day at the spa while Claire tries to replace Haley's favorite sweater, Cameron discovers Mitchell's dirty secret about Lily's adoption, and Jay and Gloria argue over their final resting place."
2,18,14 Jan. 2013,Boys' Night,8.3,"Phil and Claire have some trepidation when they find out that Luke has befriended their crotchety old neighbor, Mr. Kleezak; Jay's attempt to avoid sitting through a symphony concert with Gloria and Manny lands him in the middle of Mitchell and Cameron's ""boys' night out""; and Haley has her own adventures in babysitting with Lily."
2,19,21 Jan. 2013,The Musical Man,8.3,"Phil's new real estate ad creates embarrassment for Claire and Haley, Cameron goes over the top while directing a school musical, and Jay's brother comes to town with some surprising news."
2,20,28 Jan. 2013,Someone to Watch Over Lily,8.1,"Mitchell and Cameron try to determine Lily's guardian in case something happens to them, Claire is scared that Luke will turn out like Phil, and Haley bonds with Alex after she is forced to take Alex to cello practice."
2,21,4 Feb. 2013,Mother's Day,8.1,"Cameron is upset that Mitchell thinks he's the ""Mom"" of the family, Claire and Gloria take the kids on a disastrous hike, and Phil witnesses Jay tearing up while they prepare Mother's Day dinner."
2,22,11 Feb. 2013,Good Cop Bad Dog,8.2,"Phil and Claire trade discipline roles for the day, Gloria forces Jay to listen to a horrible business proposal, and Mitchell tries to convince a sick Cameron to let him go to the Lady Gaga concert without him."
2,23,18 Feb. 2013,See You Next Fall,8.2,"Haley tries to convince Alex not to deliver an angry graduation speech, Jay has a botched Botox procedure, and Cameron gets upset with Mitchell because he keeps laughing at his accidents."
2,24,25 Feb. 2013,The One That Got Away,8.0,"Jay wants nothing more than to have a quiet birthday out fishing on the lake, but the family take that as him wanting a big celebration, and in their frantic scramble to put everything together, Claire and Mitchell wind up trapped in the yard of their childhood home; Phil runs into his old college nemesis while at the mall with Gloria and Lily; Cameron gets himself into some hot water at the bakery, and the kids frantically do some creative editing on grandpa's birthday video, all of which leaves Jay with a headache."
3,1,29 Aug. 2013,Dude Ranch,8.0,"The family's dude ranch vacation turns into disaster when Dylan proposes to Haley, Alex gets an unexpected first kiss, their cowboy guide keeps hitting on Gloria, and Phil goes out of his way to impress Jay."
3,2,5 Sep. 2013,When Good Kids Go Bad,8.2,"Lily has problems with Mitchell and Cameron's plans to adopt another child, Jay tries to get Manny to confess to stealing a locket at school, and Claire goes to extreme lengths to prove that she was right in an argument."
3,3,12 Sep. 2013,Phil on Wire,8.1,"Phil tries to learn tightrope walking, Haley and Alex wind up in the same math class, Gloria becomes upset over Jay's pampering of the dog, and Mitchell joins Cameron on a juice fast."
3,4,19 Sep. 2013,Door to Door,7.9,"Claire recruits her family to help gather signatures for a petition to get a stop sign, Gloria loses the family dog, Jay helps Manny try to sell wrapping paper for school, and Cameron leaves a mess in the kitchen for Mitchell."
3,5,26 Sep. 2013,Hit and Run,7.8,"Claire leaves Phil at home to watch the kids while she applies to run for public office, Mitchell and Cameron are victimized by a hit-and-run driver, and an annoying client asks Jay to ""wow"" him."
3,6,3 Oct. 2013,Go Bullfrogs!,7.8,"While Phil takes Haley on a tour of his alma mater, Claire goes out on the town with a man she mistakenly assumes is Mitchell and Cameron's gay friend. Meanwhile, Gloria is alarmed and curious about Manny's mail-order package."
3,7,10 Oct. 2013,Treehouse,8.2,"Phil tries to build a treehouse, Haley struggles with writing a college admissions essay, Cameron hits on a single woman to win a bet with Mitchell, and Jay doesn't want to go out salsa dancing with Gloria and another couple."
3,8,17 Oct. 2013,After the Fire,7.9,"As the family collects goods for a family whose house burned down, Jay makes an embarrassing remark to Phil during a massage, Claire is jealous of Mitchell's friendship with Gloria, and Cameron struggles with a moving van in a parking lot."
3,9,24 Oct. 2013,Punkin Chunkin,7.9,"Phil is upset that Claire is stifling his creativity, Mitchell doesn't believe Cameron's ""punkin chunkin"" story, Gloria won't let Jay tell Manny that his Thanksgiving centerpiece is horrible, and Hayley and Alex get in an accident."
3,10,31 Oct. 2013,Express Christmas,8.1,"Phil proposes that the entire family celebrate ""Express Christmas"" together on December 16, when they discover that they won't be spending Christmas Day together."
3,11,7 Nov. 2013,Lifetime Supply,7.9,"After having a doctor's visit but then missing the call with the test results, Phil automatically jumps to conclusions and starts saying his goodbyes. Meanwhile Javier pops up unannounced again and takes Manny to the horse races for a belated birthday celebration, and a subtle competition ensues when Mitchell brings home an environmental law award and it becomes a game of who has the bigger trophy."
3,12,14 Nov. 2013,Egg Drop,7.7,"While Jay and Claire become hyper-competitive while working on their boys' science project, Gloria tries to help Phil with his real estate seminar. Meanwhile, Cameron and Mitchell interview a potential birth mother."
3,13,21 Nov. 2013,Little Bo Bleep,8.5,"Claire's family tries to help her prepare for her political debate, Lily begins saying the ""F word"" right before her appearance as a flower girl at a wedding, and Jay begins to wonder if his dog Stella is suicidal."
3,14,28 Nov. 2013,Me? Jealous?,8.0,"Claire thinks Phil's prospective new client is hitting on her, tensions rise as Mitchell and Cameron temporarily stay with Jay and Gloria, and Alex becomes jealous when Hayley volunteers as a Big Sister."
3,15,5 Dec. 2013,Aunt Mommy,8.1,"Claire makes a drunken decision to donate her egg for Mitchell and Cameron's next child, while Manny gets hurt after Jay gets him into a football game."
3,16,12 Dec. 2013,Virgin Territory,7.8,"Alex accidentally reveals a secret about Haley to their dad, Cameron fakes a back injury to catch Claire in a lie, Mitchell confesses a secret about one of Jay's proudest moments, and Luke helps Manny try to impress a girl."
3,17,19 Dec. 2013,Leap Day,8.0,"Claire, Hayley, and Alex's cycles ruin Phil's big Leap Day plans, Mitchell tries to throw an elaborate party for Cameron's ""tenth"" birthday, and Gloria wants Jay to get in a fight."
3,18,2 Jan. 2014,Send Out the Clowns,7.5,"Cameron reunites an old clown act despite Mitchell's warnings, Phil plays hardball with a rival to get a listing, Manny's new ""friend"" has a crush on Gloria, and Claire wants her daughters to friend her on Facebook."
3,19,9 Jan. 2014,Election Day,7.8,"It's Claire's election day, and the entire family tries in vain to pitch in to help her win the vote. Meanwhile, Haley anxiously awaits her final chance to get accepted into a college."
3,20,16 Jan. 2014,The Last Walt,7.6,"Cameron's dad is visiting from the farm, and when Jay comes over, it's two manly men squaring off."
3,21,23 Jan. 2014,"Planes, Trains and Cars",7.7,"Phil makes an impulsive car purchase and wonders how Claire will react, Jay struggles to get himself and his family to a weekend with the guys at Pebble Beach, and Mitchell and Cameron lose Lily's stuffed bunny on the subway."
3,22,30 Jan. 2014,Disneyland,8.2,Visiting the happiest place on earth triggers old memories and creates new ones.
3,23,6 Feb. 2014,Tableau Vivant,8.0,"Jay and Gloria argue about how a waitress is closer to Jay than Gloria. Luke is awarded a medal for putting out a fire he started, Phil tries to fire Mitchell, and Claire and Cam fight about Cam's parenting strategies."
3,24,13 Feb. 2014,Baby on Board,8.6,"Jay and Manny are left to accompany Lily at her recital as Mitchell and Cameron bring Gloria along as translator as they adopt a Mexican child. Meanwhile, Haley has a surprise announcement about her plans after high school."
4,1,4 Sep. 2014,Bringing Up Baby,8.3,"Gloria tries to surprise Jay with news on his birthday that she is pregnant, while Phil surprises Jay with a fishing trip. Meanwhile, Mitchell and Cameron debate getting Lily a cat after she loses out on getting a baby brother."
4,2,4 Sep. 2014,Schooled,8.6,"Phil and Claire get emotional as they send Haley off to school, Manny makes Jay and Gloria take a parenting class, and Mitchell and Cameron clash with lesbian parents from Lily's school."
4,3,11 Sep. 2014,Snip,8.0,"Claire has problems with the kids as Phil prepares to get a vasectomy, Gloria refuses to wear maternity clothes, and Mitchell encourages Cameron to get a job."
4,4,11 Sep. 2014,The Butler's Escape,7.7,"Phil is upset that Luke wants to give up magic, Jay tries to get away from Gloria's snoring, Mitchell does errands as Cameron starts his new job as music teacher, and Alex suddenly becomes more sarcastic."
4,5,25 Sep. 2014,Open House of Horrors,8.0,"Claire tries to scare Phil on Halloween night, Cameron tries to show off his new slimmer body at his Halloween party, and Mitchell's white lie about Lily's mother gets him in trouble."
4,6,2 Oct. 2014,Yard Sale,7.8,"A yard sale at Jay's house reveals a secret in Gloria's past, Phil's wild side when he tries Jay's old motorcycle, and concern that Alex's new boyfriend might be gay."
4,7,9 Oct. 2014,Arrested,8.5,"When Haley is arrested for underage drinking, Phil, Claire, and Mitchell must intervene, leaving Cameron in charge of the kids. Jay's ex-wife, DeDe, makes a surprise visit, and he desperately tries to hide Gloria's pregnancy from her."
4,8,16 Oct. 2014,Mistery Date,8.2,"While Claire and the kids are away at one of Alex's competitions, one of Cam's friends has a ""date"" with Phil. Meanwhile, Mitchell has a breakthrough with Jay on a shopping trip, and Cameron gets Jay and Gloria a surprise gift."
4,9,23 Oct. 2014,When a Tree Falls,7.8,"Mitchell and Cameron fight to save a tree, Phil and Jay literally come to blows at a kids' birthday party, Claire goes shopping with Gloria--who is suffering from ""pregnancy brain,"" and Alex tries to get an embarrassing photo of Haley."
4,10,30 Oct. 2014,Diamond in the Rough,7.8,Gloria buys a microphone so she can sing to her unborn baby. Claire and Cameron try to renovate a baseball field so Luke's and Manny's baseball team has a place to play.
4,11,6 Nov. 2014,New Year's Eve,8.1,"On New Year's Eve, Jay plays poker with Billy Dee Williams, Phil and Claire try to rekindle their romance, Mitchell and Cameron search for a bar where they fit in, and Haley and Alex stay home to babysit."
4,12,13 Nov. 2014,Party Crasher,8.4,"Jay and Gloria throw a surprise birthday party for Manny, but their unborn baby may have other plans. Meanwhile, Haley dates a man twice her age, and Cameron becomes jealous of Mitchell and Lily's relationship"
4,13,20 Nov. 2014,Fulgencio,8.9,"Jay fights with his mother in law over naming the baby, Phil unsuccessfully tries to solve his kids' problems, and Mitchell and Cameron try to curb Lily's snarkiness."
4,14,27 Nov. 2014,A Slight at the Opera,7.6,"Cam is left without a lead on the first school performance of ""Phantom of the Opera,"" Phil and Mitchell play golf with Jay, and Haley and her boyfriend help Claire take care of the baby."
4,15,4 Dec. 2014,Heart Broken,7.7,"Phil and Claire's Valentine's plans land Claire in the emergency room, Jay and Gloria try to be intimate for the first time after the baby, and Mitchell has a wild Valentine's night after drinking and blacking out at his party."
4,16,11 Dec. 2014,Bad Hair Day,7.4,"Claire runs into an old lover at her college reunion, a mishap causes Cam to give the baby a disastrous haircut, and Jay has to put his bowling match on hold to build up Manny's confidence."
4,17,18 Dec. 2014,Best Men,8.0,"Mitchell and Cameron are co-best men for a friend's wedding, but the bride has cold feet. Meanwhile, Manny has a crush on the nanny, Phil helps Luke get a date, and Claire and Haley go together to Alex's concert."
4,18,25 Dec. 2014,The Wow Factor,7.7,"Claire and Cam clash over a fountain as they try to flip a house, Mitchell confronts a playground bully, Jay spends the day alone with Joe, and Phil tries to teach the girls about home repairs."
4,19,8 Jan. 2015,The Future Dunphys,7.9,"Phil and Claire get a possible glimpse at their future children, Gloria helps Lily get in touch with her Vietnamese heritage, and Jay tries to help Manny get into a prestigious prep school."
4,20,15 Jan. 2015,Flip Flop,7.8,"Phil pulls out all the stops to flip Cameron and Claire's house and avoid embarrassment from a rival realtor, and Gloria is jealous of Manny's. relationship with her ex-husband Javier's new girlfriend."
4,21,22 Jan. 2015,Career Day,7.6,"Phil's rival, Gil Thorpe, offers Claire a job, Lily gets a extra-generous gift from the Tooth Fairy, and Jay decides to begin working on his novel."
4,22,29 Jan. 2015,My Hero,7.8,"Cam is jealous of Mitchell's ex-boyfriend, Claire tries to avoid her dad's job offer, Manny has to write an essay about his hero, Phil tries to teach Gloria to skate, and Hayley tries to help Alex flirt with boys."
4,23,5 Feb. 2015,Games People Play,7.8,"The Dunphys take an RV trip together, Mitchell and Cam become over-competitive at Lily's gymnastics meet, and Jay and Gloria are upset that they weren't invited to a party."
4,24,12 Feb. 2015,Goodnight Gracie,8.2,"The family goes to Florida for Phil's mother's funeral. Phil has to honor his mom's odd last request, Jay sees a familiar face, Mitchell defends Gloria in court, and Cameron makes some new friends."
5,1,30 Jul. 2015,"Suddenly, Last Summer",8.1,"Mitchell and Cam go behind each other's backs to set up the perfect marriage proposal, Gloria is sad about sending Manny to Colombia, and Phil and Claire try to arrange the kids' vacations to maximize their ""alone time."""
5,2,6 Aug. 2015,First Days,7.8,"Manny and Luke have their first day of high school, Cam works as a substitute social studies teacher, Claire begins her new job working for her dad, and Mitchell's boss hits on Haley."
5,3,13 Aug. 2015,Larry's Wife,7.5,"Mitchell leaves the wedding plans to Cam, who is busy preparing a cat funeral for Lily. Meanwhile, Phil tries to cater his real estate business to divorced women, and Gloria thinks her baby may be cursed."
5,4,20 Aug. 2015,Farm Strong,7.8,"Cam's sister comes to town with good news, Phil and Claire agree to skip Luke's soccer game, Gloria refuses to admit she needs glasses, and Alex thinks Jay is cheating at Words With Friends."
5,5,27 Aug. 2015,The Late Show,8.1,"Jay pulled a lot of strings to get reservations at the hottest new restaurant for a family adult's night out. Unfortunately, in each household everyone is running late."
5,6,10 Sep. 2015,The Help,7.6,"Phil tries to get dad back in the dating scene, Jay does not like Gloria's new choice for a nanny, and Mitchell and Cameron are not impressed with their old friend Pepper's plans for their wedding."
5,7,17 Sep. 2015,A Fair to Remember,7.9,"At a local fair, Phil tries to surprise Claire with an anniversary gift, Jay works as a ""police officer,"" Manny enters a cake baking contest, Luke confronts a crush, and Cameron tries to rally the football team."
5,8,24 Sep. 2015,ClosetCon '13,7.7,"Claire joins Jay at a closet convention; Cam, Mitchell and Lily visit Cam's childhood Missouri farm, Phil breaks Jay's priceless Apollo 13 model, and Hayley and Alex fight over the pizza delivery guy."
5,9,1 Oct. 2015,The Big Game,7.5,"Cam tries to break a school record as freshman football coach, Phil is on the verge of his first month without selling a house, Claire still struggles with being the boss's daughter, and Mitchell tries to let his boss down easily."
5,10,8 Oct. 2015,The Old Man & the Tree,7.9,"Luke helps Phil try to reach Canada on his elliptical machine, Jay and Manny try to get a Christmas tree in the wild, Gloria is jealous of Claire and her mom, and a mix-up lands Cam and Lily with the homeless at Christmas."
5,11,1 Jan. 2016,And One to Grow On,7.5,"Phil tricks Luke into taking a dance class, but the joke is on him when the white lie indirectly lands him in the slammer. Meanwhile, Jay and Gloria throw a birthday party for Manny and Joe but are worried that Manny might be hitting on girls who are way out of his league. And Mitch and Cam are having more problems with planning their wedding when they get a rude awakening in the cutthroat world of booking a wedding venue."
5,12,1 Jan. 2016,Under Pressure,8.5,"The parents go to open house at school, Alex goes see a therapist, Manny and Luke have a double date with twins, and Mitchell doesn't feel like he's ""green"" enough after speaking to his neighbor."
5,13,8 Jan. 2016,Three Dinners,8.1,"Phil and Claire take Hayley to dinner to discuss her future, Shorty tells Jay that he and his wife are moving to Costa Rica, and Mitchell and Cam unknowingly interrupt a couple's surprise engagement dinner."
5,14,8 Jan. 2016,iSpy,8.0,"Gloria is suspicious of Jay after he says ""baby"" in a dream, Phil and Claire spy on Haley, Luke and Manny, and Mitchell is reluctant to share some juicy gossip with Cameron."
5,15,15 Jan. 2016,The Feud,7.6,"The feud between Phil and Gil Thorpe reaches a new level, a lice outbreak hits the family, Haley and Alex are trapped in the basement by a possum, and Manny and Gloria are embarrassed during a school field trip."
5,16,15 Jan. 2016,Spring-A-Ding-Fling,7.7,"A returning teacher steals Cam's thunder at the school dance he organized, Mitchell discovers that his new boss is evil, Hayley goes with Phil to an awards show, and Jay and Gloria try to get Lily to confess."
5,17,22 Jan. 2016,Other People's Children,7.9,"Gloria and Claire take Lily dress shopping, Jay teaches woodworking to Luke, Cameron tries to get out of a museum trip, and Phil helps Andy make a video for his girlfriend--which Hayley thinks is lame."
5,18,22 Jan. 2016,Las Vegas,9.2,"On a trip to Las Vegas, Jay wheels and deals to get a better room, Claire tries to win back the money she lost last year, Phil tries to get into a magician's club, and Cameron chooses a bachelor party over a spa day with Mitchell."
5,19,29 Jan. 2016,A Hard Jay's Night,7.8,Jay's plans to host a family evening are derailed when Phil gets in trouble trying to sell Gloria's old apartment and Mitchell doesn't approve of the wedding topper Cameron's father made.
5,20,29 Jan. 2016,Australia,8.0,The family joins Phil in Australia as he fulfills his late mother's wishes to discover where his parents had their honeymoon.
5,21,5 Feb. 2016,Sleeper,7.6,"Phil has to tell an elaborate lie to Claire when he messes up a household task. Gloria is put in charge of the family portrait, and Jay enters Stella in a dog show."
5,22,5 Feb. 2016,Message Received,8.3,"Mitchell and Cameron have to sell a few prized possessions to afford their wedding. Phil and Claire are the victims of a practical joke pulled off by their kids. Jay, Gloria and Manny are each forced to confront a fear."
5,23,12 Feb. 2016,"The Wedding, Part 1",8.2,"Preparations for Mitchell and Cameron's wedding become a logistical nightmare, especially when a wildfire pushes the wedding time four hours ahead of schedule."
5,24,12 Feb. 2016,"The Wedding, Part 2",8.6,A series of mishaps and unruly guests threaten to undermine Mitchell and Camerson's wedding.
6,1,15 Sep. 2016,The Long Honeymoon,8.0,Cameron isn't ready to conclude his honeymoon with Mitchell after their wedding. Gloria takes Jay to task over his appearance. The Dunphys must ready themselves for the return to school.
6,2,15 Sep. 2016,Don't Push,8.0,"Phil, Luke, and Haley cause nothing but aggravation for Alex when they tag along on her tour of Caltech. Jay and Gloria have trouble finding the perfect gifts for their anniversary."
6,3,22 Sep. 2016,The Cold,7.8,"The Dunphys are down with a cold, thanks to Phil. Jay and Gloria try to help Manny deal with playing football, and Cameron doesn't know how much playtime to give him. Mitchell debates with Lily's new friend, Sydney."
6,4,22 Sep. 2016,Marco Polo,7.9,"Things become tense when the Dunphys temporarily move into a hotel, Gloria is suspicious of Manny's new girlfriend, and Mitchell discovers that he has jinxed Cameron's football team."
6,5,29 Sep. 2016,Won't You Be Our Neighbor,7.9,"The Dunphys try to persuade the perfect couple to move in next door, Manny dates the daughter of Jay's biggest nemesis, and Mitchell and Cameron try to get Lily a new teacher."
6,6,29 Sep. 2016,Halloween 3: AwesomeLand,7.6,Phil takes over Halloween decorating duties from Claire. Jay is upset when he wants to dress up as Prince Charming but Gloria buys him a Shrek costume. Mitchell has a problem in court with the stenographer working in a scary costume.
6,7,13 Oct. 2016,"Queer Eyes, Full Hearts",8.1,"Haley and Andy start spending a lot of time together. Gloria wants Manny to learn Spanish at school instead of French, and a reporter takes more than a passing interest in Cameron and Mitchell's lives."
6,8,13 Oct. 2016,Three Turkeys,8.4,Phil and Luke take over Thanksgiving duties but Claire readies an emergency plan. Jay and Gloria get their holiday plans interrupted and regret not telling anyone. Cameron has to think of a way to get Lily to wear a dress for dinner.
6,9,20 Oct. 2016,Strangers in the Night,7.6,"Jay and Gloria try to get out of parties they must attend. Mitchell's kind gesture to a co-worker backfires on him, and Phil and Claire think Alex is lying when she tells them she found a boyfriend."
6,10,20 Oct. 2016,Haley's 21st Birthday,8.1,"Haley celebrates her 21st birthday, but will anything go wrong?"
6,11,27 Oct. 2016,The Day We Almost Died,8.2,"While driving out to get breakfast, the Dunphys including Manny have a near death experience causing everyone to reevaluate their lives. Claire resolves to be more fun and less uptight, Haley and Alex agree not to fight anymore, Manny refuses to ever ride in a car again, Luke wants to check off his bucket list, Phil decides to be a take action type of guy and the rest of the family has to bear the brunt of all the new attitudes."
6,12,27 Oct. 2016,The Big Guns,7.7,"The Dunphys want their neighbors to move their boat out the driveway, Jay is determined to potty train his son while Manny learns the hard way he wasn't a special child, and Mitchell disapproves when Cam trains Lily to be Fizbo's sidekick."
6,13,3 Nov. 2016,Rash Decisions,7.5,"When Phil thinks Luke is giving him the cold shoulder. Andy becomes Phil's new right-hand man. Meanwhile, Jay may have to give Stella away because Joe is allergic to her, and Mitchell savors being the popular guy in the office."
6,14,3 Nov. 2016,Valentine's Day 4: Twisted Sister,7.8,Claire has difficulty in accepting that Phil is more interested by her alter-ego Juliana. Gloria's sister tries to seduce Jay. Mitch and Cam have to get back a present for their friend Anders.
6,15,3 Nov. 2016,Fight or Flight,7.9,"A single first-class upgrade comes between Phil and Claire, Sal abandons her baby during Mitchell and Cam's baby shower, Jay helps Manny confront a bully, and Alex and Haley help Luke break up with a girl via text message."
6,16,3 Nov. 2016,Connection Lost,9.5,Claire is stuck at an airport and trying to digitally track down Haley after an argument.
